t	f
0	0.0537743
0.21219206	-0.0176758
0.41873598	-0.0480483
0.62473416	-0.0532764
0.83208418	-0.0739397
1.04318619	-0.1478793
1.25492716	-0.6156659
1.46069002	-1.7571249
1.66690707	-2.3566088
1.89434719	-2.5363543
2.12227798	-2.3078136
2.328583	-1.9557911
2.53447604	-1.6503232
2.74057007	-1.2878446
2.94745803	-0.9522532
3.15618014	-0.6948336
3.38709807	-0.5200672
3.60939121	-0.2320261
3.81851006	-0.038588
4.02778816	0.03560058
4.23537207	0.37144098
4.45909214	1.17705961
4.67357707	1.28659984
4.88638711	1.47779734
5.10008812	1.30203506
5.3100431	1.0685152
5.52231216	0.87383232
5.73707509	0.75159538
5.9483242	0.52529521
6.15617609	0.38986365
6.36438608	0.17227691
6.57297707	0.02912774
6.77961612	-0.0669689
6.98570204	-1.0677683
7.19977307	-1.9916406
7.42497802	-2.7345226
7.67891407	-2.383247
7.90167904	-1.9991093
8.115623	-1.5231072
8.32319498	-1.2228673
8.53502011	-0.9871069
8.74957919	-0.6139232
8.956774	-0.3816481
9.16336107	-0.1155152
9.37039304	0.63931664
9.57951021	1.2009593
9.78597021	1.40037231
9.99320507	1.43024692
10.200109	1.31074849
10.4069631	1.07548594
10.6137822	0.91266932
10.8210101	0.67840259
11.0285862	0.26239865
11.2398741	0.10680173
11.4518721	-0.0328621
11.664696	-0.0993331
11.8866081	-0.265884
12.0995262	-1.2614554
12.310184	-2.0937122
12.5180991	-2.3376882
12.732295	-3.0375009
12.9601481	-2.9005756
13.1684651	-2.4300505
13.3769851	-1.8460019
13.587461	-1.3343992
13.7972951	-1.0901743
14.0065382	-0.6328438
14.2134631	-0.4160039
14.4212182	-0.1316972
14.6328042	0.03908595
14.8492582	0.84271294
15.0584471	1.19125005
15.2672911	1.35481354
15.477092	1.36004159
15.6879981	1.17332528
15.8977871	0.99407763
16.1071632	0.7891876
16.3171711	0.45957107
16.52705	0.17227691
16.736897	0.13543156
16.949959	0.02862983
17.1602171	-0.1234817
17.369097	-1.1392184
17.5781701	-2.1123838
17.7872272	-2.4046571
17.9966421	-2.4977663
18.2058401	-2.3018387
18.415236	-2.0583606
18.6245651	-1.7673321
18.8340702	-1.313238
19.0412571	-1.0025421
19.2496121	-0.6901035
19.4558022	-0.3253843
19.6622882	-0.0639815
19.8691502	0.37592217
20.075969	0.91764842
20.283046	1.28311447
20.4901471	1.39638903
20.69979	1.28286552
20.909548	1.16486081
21.119344	0.91042872
21.3296042	0.6716808
21.54021	0.44488272
21.7507131	0.10929128
21.9607592	0.02564237
22.1710601	-0.0266382
22.3811171	-0.0530274
22.5934291	-0.1799945
22.8044541	-1.380207
23.015033	-2.3287258
23.2257302	-2.8769249
23.436522	-2.6874701
23.6465991	-2.2415915
23.8565471	-1.8243428
24.0684941	-1.2975539
24.2834361	-1.0986388
24.4910531	-0.7020533
24.6981852	-0.5499418
24.9052272	-0.3423132
25.113718	-0.1456387
25.3208201	0.72445928
25.52985	1.0441176
25.7408092	1.32593475
25.9514172	1.36302905
26.166404	1.27763746
26.3771231	1.25647628
26.5877192	1.064034
26.79757	0.88304366
27.007704	0.65749036
27.2183411	0.49417583
27.4288342	0.35152457
27.6391351	0.24223329
27.8584912	0.06846265
28.0953112	-0.2703652
28.328573	-1.6413608
28.5677941	-2.5005048
28.786339	-2.5684695
28.995991	-2.6578444
29.2068892	-2.5388439
29.4176321	-2.1542083
29.6336472	-1.8430144
29.8485661	-1.3416189
30.0587561	-0.8964872
30.26931	-0.5163328
30.4798892	-0.2190805
30.6909292	0.48147912
30.901252	1.0812119
31.111469	1.23631092
31.3217971	1.29830073
31.5352311	1.29705596
31.746331	1.08743578
31.956342	0.93582214
32.1667471	0.78346163
32.3770771	0.58379966
32.5875881	0.47152092
32.7982152	0.24820821
33.0086322	0.04630564
33.2186072	-0.1087934
33.4291771	-0.5058767
33.639735	-1.828575
33.8499112	-2.2824202
34.061007	-2.6257292
34.271472	-2.5015006
34.4810772	-2.322253
34.6908212	-2.0976955
34.90187	-1.656796
35.1119351	-1.2432817
35.3228631	-0.8626293
35.5341332	-0.5703561
35.7447741	-0.3978302
35.9558001	-0.1346847
36.1666212	0.34953293
36.3777101	0.9582281
36.5887592	1.25996165
36.7994301	1.24626912
37.010201	1.23780465
37.2231841	1.09590025
37.4343212	0.95001258
37.645298	0.80113744
37.856245	0.64404679
38.06726	0.43517348
38.2781231	0.25841537
38.4887681	0.1175068
38.7001321	0.07070324
38.9196751	-0.2469634
39.1500661	-1.2104196
39.3645532	-2.061348
39.5758882	-2.2811754
39.7892652	-2.2647443
40.017941	-2.0456639
40.2516151	-1.7865016
40.474812	-1.4725693
40.7098401	-1.0289313
40.9343751	-0.6843775
41.148463	-0.3639723
41.3588622	0.09485188
41.5688312	0.72918942
41.7790451	1.08594205
41.9898312	1.18502617
42.1997771	1.14270381
42.4109662	1.02370328
42.6285162	0.88702694
42.8518851	0.65549872
43.0767181	0.51060687
43.3110402	0.32886966
43.5328701	0.2477103
43.752321	0.11327456
43.9774201	-0.011203
44.209897	-0.665208
44.4305742	-1.612731
44.6495922	-2.3103031
44.8626931	-2.3150333
45.0728161	-2.1086495
45.2901881	-1.8310646
45.5017271	-1.5181281
45.7224772	-1.1287623
45.9322341	-0.7672796
46.141772	-0.4667908
46.3549001	-0.0248955
46.5641251	0.13592947
46.773551	0.61641277
46.986011	1.00552956
47.2010701	0.99482449
47.4113362	1.01723045
47.620836	0.94403766
47.830744	0.93930751
48.041517	0.72744674
48.251384	0.57956742
48.4611671	0.39583857
48.670485	0.26936939
48.8805931	0.09584771
49.0925741	-0.0714501
49.3099172	-0.4921842
49.5195711	-1.3306649
49.7305992	-2.0531325
49.9443972	-2.466149
50.1589251	-2.2592673
50.368706	-1.8918096
50.578531	-1.3122422
50.7883332	-0.9044538
50.999547	-0.6891077
51.2093892	-0.4247174
51.4190402	-0.0420734
51.6290801	0.40529887
51.8391712	0.89822992
52.0492151	1.02519701
52.2622621	1.07274743
52.472954	1.01200239
52.6830621	0.94403766
52.8934341	0.7941667
53.1045861	0.65500081
53.3157811	0.47973644
53.52636	0.37642008
53.737627	0.18049243
53.9482441	-0.0390859
54.159482	-0.1921933
54.3705542	-0.7842085
54.580719	-1.7571249
54.791347	-2.3466506
55.001281	-2.1064089
55.2124291	-1.7207775
55.427227	-1.3931526
55.639353	-0.9557385
55.8599222	-0.6338396
56.0943611	-0.5442158
56.3160341	-0.2360094
56.5296722	0.27061417
56.7456172	0.83599115
56.9613731	1.12154263
57.1769321	1.09664712
57.390877	1.0269397
57.8499632	0.66296737
58.224195	0.2599091
58.4726861	0.11850262
58.6932111	0.02688715
58.908468	-0.0430692
59.1250632	-0.0679647
59.3406441	-0.3796565
59.5592082	-1.1295092
59.7770581	-2.0157893
60.0012581	-2.2873993
60.2220101	-2.167154
60.437361	-1.8116461
60.6501091	-1.3102506
60.8651841	-0.9154078
61.08939	-0.6248772
61.3139551	-0.4817281
61.5353532	-0.3084553
61.8777051	0.44438481
62.3404791	1.04436655
62.5664761	1.04312178
62.7952011	0.91341618
63.018543	0.73143002
63.23298	0.64504261
63.4512661	0.45210242
64.283288	0.04132654
64.5799341	-0.1077975
64.8010292	-0.7914282
65.0154331	-1.8131398
65.2371202	-2.2104721
65.4538131	-2.0897289
65.66734	-1.762353
65.8853431	-1.3510792
66.176826	-0.8912592
66.4360032	-0.5173287
66.6770401	-0.2663819
66.906594	0.12472649
67.1464622	0.73889867
67.3797121	0.87134277
67.6142292	0.8944956
67.8354051	0.8335016
68.0563712	0.68412855
68.2775881	0.58977458
68.498513	0.49218419
68.7242031	0.30820639
68.953187	0.22405957
69.1775792	0.12099217
69.398504	0.04705251
69.6202421	-0.0059749
69.8436151	-0.088877
70.065922	-0.0535253
70.2874231	-0.3248864
70.5169332	-1.0677683
70.7488391	-1.6520659
70.9813361	-1.7857548
71.2087822	-1.7810246
71.590111	-1.2955622
71.9548252	-0.7179864
72.17995	-0.4224768
72.402544	-0.1406596
72.624855	0.19318914
72.864917	0.59475368
73.1929331	0.72371241
73.4832282	0.65749036
73.7168291	0.59475368
73.9491382	0.49666538
74.179029	0.42621109
