time_sec	flow
0.001	0.070230857
0.005	0.071407251
0.009	0.078700908
0.013	0.081759535
0.017	0.080818422
0.021	0.091405988
0.025	0.085641645
0.029	0.088935554
0.033	0.098817281
0.037	0.096464485
0.041	0.111992918
0.045	0.10246411
0.049	0.106463857
0.053	0.105169818
0.057	0.103758141
0.061	0.113875151
0.065	0.113404594
0.069	0.118580736
0.073	0.117286704
0.077	0.113286957
0.081	0.112463474
0.085	0.126109675
0.089	0.11516919
0.093	0.127403706
0.097	0.131050542
0.101	0.127638981
0.105	0.135403201
0.109	0.136814877
0.113	0.138344198
0.117	0.133873895
0.121	0.137167796
0.125	0.135167927
0.129	0.138461828
0.133	0.149637595
0.137	0.149284676
0.141	0.147990644
0.145	0.151519835
0.149	0.156460688
0.153	0.157401815
0.157	0.165283665
0.161	0.167283535
0.165	0.160460442
0.169	0.15928404
0.173	0.161166281
0.177	0.153284431
0.181	0.153990269
0.185	0.151166916
0.189	0.149049401
0.193	0.146461323
0.197	0.154813737
0.201	0.162930876
0.205	0.171871483
0.209	0.183164895
0.213	0.194458291
0.217	0.1909291
0.221	0.202928349
0.225	0.198105127
0.229	0.189870343
0.233	0.196458161
0.237	0.187635198
0.241	0.185635313
0.245	0.196575806
0.249	0.196340531
0.253	0.211045474
0.257	0.213515908
0.261	0.218927339
0.265	0.218103856
0.269	0.215280503
0.273	0.215633422
0.277	0.225279868
0.281	0.223279998
0.285	0.22810322
0.289	0.222103596
0.293	0.216574535
0.297	0.215162858
0.301	0.225397512
0.305	0.226691544
0.309	0.226691544
0.313	0.22645627
0.317	0.22222124
0.321	0.224338755
0.325	0.236573279
0.329	0.234573409
0.333	0.231161848
0.337	0.236690909
0.341	0.225985706
0.345	0.230220735
0.349	0.231044218
0.353	0.233397007
0.357	0.224338755
0.361	0.225162238
0.365	0.22222124
0.369	0.222338885
0.373	0.225397512
0.377	0.225515157
0.381	0.221633047
0.385	0.219280258
0.389	0.22422111
0.393	0.22645627
0.397	0.2244564
0.401	0.227632672
0.405	0.222456515
0.409	0.223044723
0.413	0.226103351
0.417	0.233279362
0.421	0.23045601
0.425	0.228926703
0.429	0.236808553
0.433	0.241278857
0.437	0.246925563
0.441	0.258924812
0.445	0.246337369
0.449	0.251278222
0.453	0.247866675
0.457	0.243749291
0.461	0.251513511
0.465	0.248337239
0.469	0.247160837
0.473	0.243161097
0.477	0.25574854
0.481	0.257630765
0.485	0.259395361
0.489	0.257160217
0.493	0.261512876
0.497	0.252219349
0.501	0.256101459
0.505	0.262806922
0.509	0.264100939
0.513	0.256572008
0.517	0.264218599
0.521	0.253866285
0.525	0.26363039
0.529	0.267983049
0.533	0.273747385
0.537	0.268571258
0.541	0.273276836
0.545	0.263983309
0.549	0.269865274
0.553	0.275041431
0.557	0.273747385
0.561	0.272335708
0.565	0.268806517
0.569	0.27162987
0.573	0.271276951
0.577	0.277276576
0.581	0.282217443
0.585	0.282923281
0.589	0.282335103
0.593	0.286805391
0.597	0.297040045
0.601	0.293393224
0.605	0.293628484
0.609	0.294804901
0.613	0.286452472
0.617	0.287628859
0.621	0.295628369
0.625	0.287628859
0.629	0.297392964
0.633	0.300098658
0.637	0.293863773
0.641	0.303745508
0.645	0.298216432
0.649	0.298804641
0.653	0.302216172
0.657	0.304333687
0.661	0.305627733
0.665	0.302451462
0.669	0.310215682
0.673	0.312921375
0.677	0.312803745
0.681	0.320920885
0.685	0.322214931
0.689	0.317626983
0.693	0.321038514
0.697	0.316450566
0.701	0.316685855
0.705	0.318450451
0.709	0.323508948
0.713	0.323508948
0.717	0.325626463
0.721	0.327979267
0.725	0.32280311
0.729	0.323979527
0.733	0.326214671
0.737	0.327508688
0.741	0.325391203
0.745	0.326332301
0.749	0.333861232
0.753	0.333861232
0.757	0.339037389
0.761	0.345037013
0.765	0.335272908
0.769	0.339743227
0.773	0.339860857
0.777	0.33468473
0.781	0.340096146
0.785	0.343037128
0.789	0.341625452
0.793	0.344448805
0.797	0.353036493
0.801	0.354448169
0.805	0.355624557
0.809	0.365271032
0.813	0.367859095
0.817	0.362565309
0.821	0.364094615
0.825	0.360683084
0.829	0.356212765
0.833	0.356095135
0.837	0.363153517
0.841	0.358565569
0.845	0.362682939
0.849	0.367623806
0.853	0.368800223
0.857	0.372917593
0.861	0.372447044
0.865	0.376446784
0.869	0.369506061
0.873	0.376799703
0.877	0.386681437
0.881	0.372682303
0.885	0.38962242
0.889	0.38174057
0.893	0.375505656
0.897	0.382093489
0.901	0.378329009
0.905	0.37397635
0.909	0.381387651
0.913	0.370917708
0.917	0.379387766
0.921	0.369388402
0.925	0.369741321
0.929	0.375740945
0.933	0.371505916
0.937	0.378564298
0.941	0.386328518
0.945	0.380917102
0.949	0.390916467
0.953	0.392681062
0.957	0.394327998
0.961	0.399151236
0.965	0.398915946
0.969	0.398563027
0.973	0.395151496
0.977	0.401974589
0.981	0.405621409
0.985	0.400562912
0.989	0.401974589
0.993	0.404327363
0.997	0.391387016
1.001	0.40538612
1.005	0.402562767
1.009	0.400680542
1.013	0.404445022
1.017	0.40162167
1.021	0.399268866
1.025	0.40162167
1.029	0.403503895
1.033	0.402562767
1.037	0.398327768
1.041	0.401033461
1.045	0.402798057
1.049	0.40126875
1.053	0.41338563
1.057	0.408209473
1.061	0.408797681
1.065	0.417973578
1.069	0.417855918
1.073	0.42103219
1.077	0.41715008
1.081	0.415385485
1.085	0.416679531
1.089	0.412915081
1.093	0.420796931
1.097	0.418444127
1.101	0.414562017
1.105	0.407503635
1.109	0.40538612
1.113	0.397974849
1.117	0.400915831
1.121	0.401151091
1.125	0.400209993
1.129	0.408915311
1.133	0.40550378
1.137	0.402092218
1.141	0.414914936
1.145	0.407738924
1.149	0.410679907
1.153	0.407856554
1.157	0.409856439
1.161	0.403268605
1.165	0.404327363
1.169	0.399857074
1.173	0.396327883
1.177	0.39373982
1.181	0.392328143
1.185	0.395974964
1.189	0.397151351
1.193	0.400562912
1.197	0.403150976
1.201	0.400680542
1.205	0.401151091
1.209	0.40538612
1.213	0.40126875
1.217	0.404445022
1.221	0.4091506
1.225	0.406444877
1.229	0.410444647
1.233	0.419973433
1.237	0.42114985
1.241	0.4249143
1.245	0.427031815
1.249	0.418091208
1.253	0.412209243
1.257	0.410797566
1.261	0.416326612
1.265	0.410444647
1.269	0.416208982
1.273	0.410209358
1.277	0.408562392
1.281	0.403974444
1.285	0.412209243
1.289	0.405621409
1.293	0.407033086
1.297	0.407974213
1.301	0.402915686
1.305	0.412091583
1.309	0.409738809
1.313	0.412209243
1.317	0.407621294
1.321	0.405150861
1.325	0.40938589
1.329	0.40526849
1.333	0.411385745
1.337	0.409974068
1.341	0.402915686
1.345	0.397033721
1.349	0.396798432
1.353	0.392916322
1.357	0.400445253
1.361	0.403739184
1.365	0.400209993
1.369	0.402209848
1.373	0.410797566
1.377	0.415267855
1.381	0.423973203
1.385	0.416208982
1.389	0.412209243
1.393	0.398092479
1.397	0.391504645
1.401	0.39362216
1.405	0.376799703
1.409	0.373270512
1.413	0.375623316
1.417	0.371858835
1.421	0.379387766
1.425	0.379858345
1.429	0.370564789
1.433	0.366565049
1.437	0.372211754
1.441	0.365271032
1.445	0.376211494
1.449	0.373152882
1.453	0.375035107
1.457	0.374564558
1.461	0.38174057
1.465	0.377270252
1.469	0.365388662
1.473	0.360447794
1.477	0.347272158
1.481	0.344331175
1.485	0.34256658
1.489	0.342096001
1.493	0.341390163
1.497	0.337508082
1.501	0.332920134
1.505	0.341272533
1.509	0.331390798
1.513	0.333155394
1.517	0.337508082
1.521	0.329273283
1.525	0.33433181
1.529	0.335272908
1.533	0.321744353
1.537	0.325391203
1.541	0.314568341
1.545	0.308098167
1.549	0.311627358
1.553	0.315391809
1.557	0.314333051
1.561	0.30692178
1.565	0.307274699
1.569	0.299510479
1.573	0.294216692
1.577	0.302216172
1.581	0.301863253
1.585	0.294451982
1.589	0.302804381
1.593	0.297745883
1.597	0.295863658
1.601	0.302686751
1.605	0.300569236
1.609	0.294804901
1.613	0.290216953
1.617	0.285393715
1.621	0.283629119
1.625	0.286334842
1.629	0.293275565
1.633	0.287040681
1.637	0.286452472
1.641	0.2832762
1.645	0.275982559
1.649	0.269982934
1.653	0.265983194
1.657	0.257748395
1.661	0.252807558
1.665	0.239749551
1.669	0.227044463
1.673	0.223515272
1.677	0.215045229
1.681	0.213515908
1.685	0.203751817
1.689	0.205634058
1.693	0.197869837
1.697	0.195046484
1.701	0.187517554
1.705	0.177400544
1.709	0.170695081
1.713	0.154931381
1.717	0.149990514
1.721	0.143990889
1.725	0.124109797
1.729	0.118580736
1.733	0.103405222
1.737	0.093052939
1.741	0.090229586
1.745	0.079406746
1.749	0.073171847
1.753	0.053996585
1.757	0.044232499
1.761	0.03105686
1.765	0.016822465
1.769	0.008117134
1.773	-0.007764215
1.777	-0.022351528
1.781	-0.025880717
1.785	-0.040938586
1.789	-0.051761433
1.793	-0.066466384
1.797	-0.081406616
1.801	-0.0923471
1.805	-0.100464232
1.809	-0.111404717
1.813	-0.121639363
1.817	-0.143755615
1.821	-0.151637465
1.825	-0.174577191
1.829	-0.189517424
1.833	-0.199634433
1.837	-0.218456775
1.841	-0.224574029
1.845	-0.230926573
1.849	-0.247043207
1.853	-0.244337484
1.857	-0.260218829
1.861	-0.259512991
1.865	-0.267277211
1.869	-0.274923801
1.873	-0.274923801
1.877	-0.292805016
1.881	-0.296216577
1.885	-0.30292201
1.889	-0.313627213
1.893	-0.322097272
1.897	-0.323744237
1.901	-0.330920249
1.905	-0.331979007
1.909	-0.333861232
1.913	-0.337037504
1.917	-0.345154643
1.921	-0.347625077
1.925	-0.356095135
1.929	-0.370917708
1.933	-0.369270772
1.937	-0.381505281
1.941	-0.381270021
1.945	-0.387387276
1.949	-0.380564183
1.953	-0.383858085
1.957	-0.382093489
1.961	-0.37774083
1.965	-0.383269876
1.969	-0.382681698
1.973	-0.387740195
1.977	-0.383152246
1.981	-0.395739675
1.985	-0.390328258
1.989	-0.397269011
1.993	-0.40550378
1.997	-0.410209358
2.001	-0.412444502
2.005	-0.414209098
2.009	-0.42126748
2.013	-0.419267595
2.017	-0.4249143
2.021	-0.42114985
2.025	-0.419502884
2.029	-0.424561381
2.033	-0.430796295
2.037	-0.429266959
2.041	-0.427620023
2.045	-0.431031555
2.049	-0.430796295
2.053	-0.425973058
2.057	-0.441148579
2.061	-0.43303144
2.065	-0.431737393
2.069	-0.441619128
2.073	-0.436207712
2.077	-0.440207452
2.081	-0.446795285
2.085	-0.447971672
2.089	-0.445971787
2.093	-0.44879514
2.097	-0.443148434
2.101	-0.438325226
2.105	-0.440089822
2.109	-0.432560891
2.113	-0.430090457
2.117	-0.4249143
2.121	-0.427149475
2.125	-0.423973203
2.129	-0.424208462
2.133	-0.426561266
2.137	-0.430678636
2.141	-0.426796556
2.145	-0.432325602
2.149	-0.42891404
2.153	-0.424443752
2.157	-0.420796931
2.161	-0.413032711
2.165	-0.412562162
2.169	-0.413620889
2.173	-0.414797306
2.177	-0.410797566
2.181	-0.415856063
2.185	-0.419620514
2.189	-0.420679271
2.193	-0.418561757
2.197	-0.422914445
2.201	-0.412562162
2.205	-0.40550378
2.209	-0.407150716
2.213	-0.402327508
2.217	-0.39350453
2.221	-0.394445658
2.225	-0.387740195
2.229	-0.385269761
2.233	-0.382799327
2.237	-0.384093344
2.241	-0.386328518
2.245	-0.388093114
2.249	-0.398563027
2.253	-0.390445888
2.257	-0.387740195
2.261	-0.392210484
2.265	-0.383034617
2.269	-0.3818582
2.273	-0.391739935
2.277	-0.384446263
2.281	-0.375740945
2.285	-0.380917102
2.289	-0.374917477
2.293	-0.373270512
2.297	-0.378093749
2.301	-0.36997661
2.305	-0.368800223
2.309	-0.358683199
2.313	-0.364329904
2.317	-0.35809499
2.321	-0.360447794
2.325	-0.355506927
2.329	-0.354918748
2.333	-0.351507187
2.337	-0.356683314
2.341	-0.357036233
2.345	-0.350566059
2.349	-0.35433054
2.353	-0.348213285
2.357	-0.343860596
2.361	-0.345507562
2.365	-0.34244892
2.369	-0.328332186
2.373	-0.329155654
2.377	-0.334919989
2.381	-0.330096781
2.385	-0.344331175
2.389	-0.342096001
2.393	-0.345389932
2.397	-0.345625192
2.401	-0.340801984
2.405	-0.347507447
2.409	-0.337272793
2.413	-0.33833155
2.417	-0.338919759
2.421	-0.327038139
2.425	-0.333273053
2.429	-0.33433181
2.433	-0.324214786
2.437	-0.332802474
2.441	-0.333743602
2.445	-0.328567445
2.449	-0.328685105
2.453	-0.326214671
2.457	-0.315980017
2.461	-0.307745248
2.465	-0.304098427
2.469	-0.291040421
2.473	-0.2873936
2.477	-0.284570247
2.481	-0.2832762
2.485	-0.284334958
2.489	-0.281511605
2.493	-0.273512125
2.497	-0.272570997
2.501	-0.263983309
2.505	-0.263042182
2.509	-0.255277961
2.513	-0.244925693
2.517	-0.248101965
2.521	-0.243514016
2.525	-0.243984565
2.529	-0.252336979
2.533	-0.249160722
2.537	-0.246690288
2.541	-0.245160967
2.545	-0.237867311
2.549	-0.239161342
2.553	-0.231397137
2.557	-0.241514146
2.561	-0.235632151
2.565	-0.236102715
2.569	-0.24210234
2.573	-0.238455504
2.577	-0.246807918
2.581	-0.249278352
2.585	-0.250925303
2.589	-0.254101574
2.593	-0.251160592
2.597	-0.248690158
2.601	-0.24998419
2.605	-0.248101965
2.609	-0.248337239
2.613	-0.238102585
2.617	-0.236102715
2.621	-0.237514392
2.625	-0.243984565
