time_sec	pmask_cmH20
0.0012	4.174227238
0.0052	4.154064178
0.0092	4.159867764
0.0132	4.166489601
0.0172	4.155254364
0.0212	4.161504269
0.0252	4.185238838
0.0292	4.170209408
0.0332	4.163438797
0.0372	4.179510117
0.0412	4.174673557
0.0452	4.167010307
0.0492	4.188140869
0.0532	4.185833931
0.0572	4.171028137
0.0612	4.18732214
0.0652	4.191786289
0.0692	4.173780918
0.0732	4.178245068
0.0772	4.185238838
0.0812	4.161281109
0.0852	4.166265965
0.0892	4.183006763
0.0932	4.168796062
0.0972	4.164480686
0.1012	4.173185825
0.1052	4.158602715
0.1092	4.145210266
0.1132	4.165150166
0.1172	4.15956974
0.1212	4.139778614
0.1252	4.144615173
0.1292	4.141861916
0.1332	4.115523338
0.1372	4.118052959
0.1412	4.119913101
0.1452	4.093946457
0.1492	4.089482307
0.1532	4.096624851
0.1572	4.077875614
0.1612	4.073039532
0.1652	4.088068962
0.1692	4.070658684
0.1732	4.051165104
0.1772	4.061506748
0.1812	4.04833746
0.1852	4.02862072
0.1892	4.037549019
0.1932	4.031894684
0.1972	4.005779266
0.2012	4.014186859
0.2052	4.025049686
0.2092	4.012252331
0.2132	4.018353462
0.2172	4.034573078
0.2212	4.020436764
0.2252	4.02051115
0.2292	4.041939259
0.2332	4.038516521
0.2372	4.038144588
0.2412	4.060762882
0.2452	4.056521893
0.2492	4.041120529
0.2532	4.058307648
0.2572	4.066492081
0.2612	4.056745052
0.2652	4.072295189
0.2692	4.085241318
0.2732	4.068202972
0.2772	4.078693867
0.2812	4.100717068
0.2852	4.087547779
0.2892	4.086952686
0.2932	4.100866318
0.2972	4.087027073
0.3012	4.079958916
0.3052	4.101610184
0.3092	4.099750042
0.3132	4.085018158
0.3172	4.095732212
0.3212	4.090152264
0.3252	4.070435524
0.3292	4.083381176
0.3332	4.090821743
0.3372	4.071476936
0.3412	4.071700096
0.3452	4.080405235
0.3492	4.065822124
0.3532	4.064111233
0.3572	4.081744671
0.3612	4.063888073
0.3652	4.046328545
0.3692	4.060167789
0.3732	4.05168581
0.3772	4.036284447
0.3812	4.049081802
0.3852	4.041641235
0.3892	4.021924496
0.3932	4.032043457
0.3972	4.03643322
0.4012	4.011731625
0.4052	4.01374054
0.4092	4.018130302
0.4132	3.99342823
0.4172	3.990080118
0.4212	4.00168705
0.4252	3.985392809
0.4292	3.971702576
0.4332	3.985318422
0.4372	3.975571632
0.4412	3.961732626
0.4452	3.974901915
0.4492	3.971256256
0.4532	3.947968245
0.4572	3.953845978
0.4612	3.958086967
0.4652	3.94127202
0.4692	3.946405649
0.4732	3.950274706
0.4772	3.924679995
0.4812	3.924679995
0.4852	3.944024801
0.4892	3.931450844
0.4932	3.925572872
0.4972	3.939783812
0.5012	3.92601943
0.5052	3.91247797
0.5092	3.932790041
0.5132	3.931227446
0.5172	3.910915613
0.5212	3.918653488
0.5252	3.919099808
0.5292	3.903624058
0.5332	3.91627264
0.5372	3.928028107
0.5412	3.911361933
0.5452	3.909725189
0.5492	3.922596693
0.5532	3.912849903
0.5572	3.911436319
0.5612	3.928995371
0.5652	3.914412498
0.5692	3.899159908
0.5732	3.913370848
0.5772	3.910320282
0.5812	3.895365477
0.5852	3.912850142
0.5892	3.917537451
0.5932	3.891793966
0.5972	3.897374153
0.6012	3.904219389
0.6052	3.887850761
0.6092	3.888743639
0.6132	3.902210474
0.6172	3.881898403
0.6212	3.874383688
0.6252	3.892538071
0.6292	3.881452084
0.6332	3.870886803
0.6372	3.885693073
0.6412	3.879145622
0.6452	3.863669872
0.6492	3.878178358
0.6532	3.880336046
0.6572	3.862553835
0.6612	3.872077227
0.6652	3.883237839
0.6692	3.86478591
0.6732	3.866348267
0.6772	3.881600857
0.6812	3.863818645
0.6852	3.861512184
0.6892	3.87728548
0.6932	3.867017984
0.6972	3.854071856
0.7012	3.87029171
0.7052	3.868134022
0.7092	3.851541996
0.7132	3.867538691
0.7172	3.868282795
0.7212	3.845143557
0.7252	3.850723743
0.7292	3.857866287
0.7332	3.83725667
0.7372	3.842241764
0.7412	3.852434874
0.7452	3.835247993
0.7492	3.828700542
0.7532	3.843283415
0.7572	3.831974268
0.7612	3.822078466
0.7652	3.842985868
0.7692	3.840604782
0.7732	3.82602191
0.7772	3.836364031
0.7812	3.835098982
0.7852	3.816572666
0.7892	3.823492289
0.7932	3.829667807
0.7972	3.808165312
0.8012	3.810397387
0.8052	3.823789835
0.8092	3.810397387
0.8132	3.807049274
0.8172	3.822153091
0.8212	3.807942152
0.8252	3.798790455
0.8292	3.813671112
0.8332	3.811141253
0.8372	3.79655838
0.8412	3.810918093
0.8452	3.809206963
0.8492	3.787332535
0.8532	3.791722298
0.8572	3.796260834
0.8612	3.77959466
0.8652	3.787109137
0.8692	3.794996023
0.8732	3.777139187
0.8772	3.769178152
0.8812	3.779594421
0.8852	3.763002634
0.8892	3.752958298
0.8932	3.765904427
0.8972	3.758017778
0.9012	3.744774103
