x0000,y0000
0,0.5310339282,
0.040517,0.4967968445,
0.080997,0.5291185669,
0.121546,0.3722983582,
0.162007,0.3950432739,
0.202572,0.3167528796,
0.243021,0.3801992236,
0.28351,0.3193865015,
0.32392,0.4529829541,
0.364275,0.3433285181,
0.404757,0.4163516687,
0.447516,0.3457227197,
0.488613,0.3076549133,
0.529039,0.2908955017,
0.569591,0.3450044592,
0.610318,0.2607285608,
0.650847,0.180283385,
0.691402,0.2145204687,
0.732063,0.2375048047,
0.772195,0.2288856787,
0.81289,0.2425326282,
0.853388,0.1316810913,
0.893881,0.1570596289,
0.934426,0.09385270508,
0.974875,0.09624690674,
1.015352,0.1496376038,
1.055657,0.1493981836,
1.096197,0.1623268726,
1.136697,0.1338358728,
1.1771,0.1829170068,
1.217879,0.1683123767,
1.258347,0.121146604,
1.298935,0.1261744275,
1.339389,0.1412578979,
1.379847,0.09911994873,
1.420516,0.1252167468,
1.463364,0.1388636963,
1.504362,0.118273562,
1.544609,0.1280897888,
1.585076,0.08930372192,
1.625434,0.09888052856,
1.665951,0.05961562134,
1.706244,0.05626373901,
1.746599,0.05267243652,
1.787049,0.04453215088,
1.827693,0.03423708374,
1.868285,0.0478840332,
1.908992,0.01388636963,
1.94945,0.01604115112,
1.989914,-0.0627280835,
2.03038,-0.004548983154,
2.071077,-0.06488286499,
2.111611,-0.04477157104,
2.152303,-0.03830722656,
2.192798,-0.02633621826,
2.233251,-0.02489969727,
2.273768,0.0373495459,
2.314934,-0.08690952026,
2.355339,-0.08259995728,
2.395776,-0.1185129822,
2.436272,-0.2286462585,
2.476683,-0.3617638708,
2.517117,-0.4266467358,
2.557323,-0.4671087439,
2.597797,-0.5791573816,
2.638359,-0.6641515405,
2.678788,-0.7912836487,
2.719233,-0.7721300354,
2.759678,-0.8530540515,
2.800141,-0.9988609326,
2.840477,-0.8226476904,
2.883733,-0.9308656055,
2.924482,-1.059194814,
2.964928,-0.9866505042,
3.00571,-1.047463226,
3.045871,-1.074996545,
3.08633,-0.8762778076,
3.12696,-0.9713276135,
3.167397,-0.8916006982,
3.207788,-0.686417616,
3.248249,-0.6703764648,
3.288671,-0.7393294727,
3.329161,-0.6612784985,
3.369723,-0.5925649109,
3.410213,-0.6452373474,
3.450698,-0.5363011719,
3.491024,-0.4709394666,
3.531468,-0.5243301636,
3.57202,-0.5212177014,
3.61271,-0.3950432739,
3.653221,-0.3811569043,
3.693821,-0.3890577698,
3.734337,-0.3246537451,
